Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
-0.1833,-0.0023,-0.18327,-7.83E-04,-0.27308,-0.00204
-0.1843,-0.00231,-0.18426,-7.82E-04,-0.27408,-0.00219
-0.18528,-0.0023,-0.18524,-7.80E-04,-0.27509,-0.00215
-0.18628,-0.00232,-0.18623,-7.95E-04,-0.27609,-0.00219
-0.1873,-0.00231,-0.18724,-7.77E-04,-0.27707,-0.00219
-0.18828,-0.00231,-0.18826,-7.86E-04,-0.27808,-0.00219
-0.1893,-0.00233,-0.18926,-7.76E-04,-0.27907,-0.00224
-0.19029,-0.00233,-0.19023,-7.87E-04,-0.2801,-0.00224
-0.19128,-0.00233,-0.19125,-7.81E-04,-0.28107,-0.00222
-0.19228,-0.00234,-0.19224,-7.82E-04,-0.28206,-0.00228
